model_id,prompt,variable,coefficient,std_error,t_stat,p_value,ci_low,ci_high,year
model_1,TABLE 1 - consumption ~ HDD + CDD,const,36964.542956620986,54.26307160798815,681.2099252999046,0.0,36858.18929057881,37070.89662266316,2022
model_1,TABLE 1 - consumption ~ HDD + CDD,HDD,-18.74604092488562,57.114451480932026,-0.3282188734867582,0.7427461786056377,-130.68830882427272,93.1962269745015,2022
model_1,TABLE 1 - consumption ~ HDD + CDD,CDD,2252.384370091264,52.581103538088016,42.83638452851624,0.0,2149.3273008892397,2355.441439293288,2022
model_2,TABLE 2 - consumption ~ HDD + CDD + night dummy,const,38946.347610507146,55.55689825193585,701.0173144277377,0.0,38837.4580908406,39055.23713017369,2022
model_2,TABLE 2 - consumption ~ HDD + CDD + night dummy,HDD,310.79782032547064,43.81740777501515,7.093021611896647,1.3121495579650065e-12,224.91727919053562,396.67836146040565,2022
model_2,TABLE 2 - consumption ~ HDD + CDD + night dummy,CDD,1675.7050943687059,51.9544935076485,32.253323653747415,3.1600454584823254e-228,1573.8761582586947,1777.534030478717,2022
model_2,TABLE 2 - consumption ~ HDD + CDD + night dummy,night,-6794.758813324002,89.43645950967817,-75.97302990944898,0.0,-6970.051052867747,-6619.466573780258,2022
model_3,TABLE 3 - consumption ~ HDD + CDD + night dummy + weekend dummy,const,39990.293727954006,54.331899286929705,736.0371025640591,0.0,39883.805162139965,40096.78229376805,2022
model_3,TABLE 3 - consumption ~ HDD + CDD + night dummy + weekend dummy,HDD,337.79135241237555,41.65433502432197,8.109392508970293,5.087346168850155e-16,256.1503559647391,419.432348860012,2022
model_3,TABLE 3 - consumption ~ HDD + CDD + night dummy + weekend dummy,CDD,1723.3444956072874,43.17450601623519,39.91578953930004,0.0,1638.7240187651585,1807.9649724494163,2022
model_3,TABLE 3 - consumption ~ HDD + CDD + night dummy + weekend dummy,night,-6781.493176230397,88.61222394673172,-76.52999636152929,0.0,-6955.169943755988,-6607.816408704805,2022
model_3,TABLE 3 - consumption ~ HDD + CDD + night dummy + weekend dummy,weekend,-3642.40543317794,92.46779273859435,-39.39107147799005,0.0,-3823.638976675499,-3461.1718896803804,2022
model_4,TABLE 4 - consumption ~ HDD + CDD + night dummy + weekend dummy + month dummies,const,40030.32028537602,137.25972823448055,291.6392214983283,0.0,39761.29616150868,40299.344409243364,2022
model_4,TABLE 4 - consumption ~ HDD + CDD + night dummy + weekend dummy + month dummies,HDD,-468.047588091958,75.30010020612757,-6.215763150523278,5.107579714114985e-10,-615.6330725282252,-320.46210365569084,2022
